@relation problema
@attribute 'cpu-cycles' real
@attribute 'instructions' real
@attribute 'cache-references' real
@attribute 'cache-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-misses' real
@attribute 'page-faults' real
@attribute 'branch-loads' real
@attribute 'branch-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-stores' real
@attribute 'LLC-store-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-stores' real
@attribute 'dTLB-store-misses' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
17630489,23457047,804983,165154,7255789,41153,594,7649193,38778,8395486,207628,4671109,248784,58713,23245,?,?,?,?,?,?,?,?,4576000,1830000,0
93194304,242527708,1006219,182194,42136640,79026,333,43081156,78629,63647425,227844,29319052,237987,62445,24939,15210,2137,75843166,2584,30262812,277,2396,1593,25304000,0,0
94238748,235371268,960573,151325,46295320,78460,137,45925083,79459,66205899,234047,31273674,328348,55515,18543,12022,1699,75244743,3331,32995635,209,3017,2257,24681000,987000,0
95394172,239323141,1242350,196361,46560856,111339,136,45889147,116962,66833360,427751,33930789,585860,77994,23334,11065,1779,77561946,3864,34134622,218,3423,2321,25266000,1010000,0
518393761,812509448,2466156,188781,165178424,548905,130,165184078,548064,266057164,366210,142706429,1285942,117541,24705,55813,9182,271099064,114221,143595969,1044,250141,219141,109346000,31098000,0
101799119,272233611,1041318,171427,58613950,71978,134,58456602,75661,55845968,204590,36394469,355507,64033,21347,12566,1844,60978681,3677,37010033,275,4275,4615,27105000,1003000,0
519502950,811033634,2478105,196275,164898506,547798,128,165111412,546912,263966058,365599,142644802,1268120,118083,21735,55925,9320,267734874,114620,143153752,1102,376242,308633,108664000,32196000,0
342711963,333656493,1946406,200558,64650296,318336,134,64593568,325463,95763878,276696,44577509,905898,93953,22278,38999,6197,96066428,110179,44634492,719,360075,309314,61048000,34027000,0
516051221,808093279,2327212,179636,164733882,557138,131,164732608,559138,263193304,363498,143046267,1219982,117949,27075,56066,9150,266870424,113425,143154693,1072,312343,308868,113158000,27037000,0
518919246,808472306,2367909,178850,164230292,536898,132,164277913,533430,263005545,330728,142863306,1169121,115015,25257,57136,9867,268253645,114596,143669036,1129,356979,309322,106988000,33996000,0
513132023,810113092,2349961,192898,165135834,548375,129,165275695,546077,265816325,364722,143532938,1189110,118001,24731,54847,9082,270527303,113860,143440030,1095,137855,309474,114810000,25177000,0
522119193,811215259,2479179,183784,164919909,543312,131,165036095,543144,264026128,343174,143185239,1235057,115808,22527,57547,9529,267751659,114158,143612947,1105,316891,105066,105286000,36098000,0
518498136,807489090,2494471,219719,164093093,561854,131,164241802,562934,262597219,355526,143512809,1219331,117058,24703,54399,9085,267879472,114299,143327114,1098,365877,309298,105894000,34965000,0
94298785,233894788,1007461,159780,46719346,75057,143,45971821,76751,66389578,255044,32747425,328561,60507,20995,11436,1755,75951231,3832,33331965,214,3039,1169,25011000,1000000,0
522728044,809804588,2477575,197194,164627867,544895,129,164377442,543799,264373515,352176,143503320,1294059,124186,26083,57536,9334,271778502,115227,143881218,1076,312528,171307,108181000,35058000,0
354254107,350762072,1952665,359380,66421401,315161,1893,66079209,310581,96854476,863822,47773646,961161,261005,79939,39381,6293,101311562,115077,47267546,733,182433,324559,62829000,32910000,0
521918033,812048697,2423138,187352,164814477,553710,129,164955837,553488,263883317,356763,142556629,1247700,113834,21410,56057,9083,267767387,114246,143302283,1110,319207,105493,113574000,27137000,0
517258191,812679443,2593950,257736,165824516,572543,131,165764103,568217,265393424,383846,142878074,1424370,119231,24256,56591,9108,270415051,114428,143309743,1089,137014,309237,99867000,39946000,0
516817730,809821082,2367507,183173,165067752,541710,129,165215689,542198,266395688,359261,142969614,1202081,116137,26293,62324,9154,270035238,114133,142990441,1114,214465,296241,105000000,35000000,0
335270141,327208708,1897220,217125,63797185,320711,136,63764481,321356,94869643,373070,46167623,785773,93358,32220,38028,6863,95569639,110629,45582332,661,192165,148049,52309000,38225000,0
92221206,232449864,1039442,167088,47005541,74566,136,46647864,77397,67725633,254865,32334148,325552,61779,19934,12900,1781,73967174,3633,32347417,217,3193,2839,26836000,0,0
521658295,813058638,2510952,198606,164955766,552666,135,165271395,550314,264147024,371792,143051918,1319955,120492,23731,58169,9417,268467031,114931,144008370,1132,310918,106226,104893000,35963000,0
528727462,812064384,2508867,191956,164860349,613039,130,164981959,610923,263599532,345760,143426507,1254691,116402,22250,58033,9933,267631029,115032,143223133,1118,343547,105184,115247000,27058000,0
97930445,241167903,1002336,160486,47068478,76322,138,45818625,79137,66379973,252914,32283623,338738,59958,21156,10969,1742,75862305,3527,33276400,208,3806,2276,24790000,953000,0
519105330,809851606,2305436,177140,164935057,532801,129,165074079,534143,266226581,355402,143942793,1173051,118014,26183,53517,9150,270789171,113731,143569046,1056,251812,318581,101395000,39152000,0
516625075,809317589,2370741,177836,164369819,560159,132,164271001,559870,262641211,360815,143221895,1251238,131897,33141,55692,9043,268771018,114743,144020507,1053,273956,310196,111624000,28902000,0
91060036,228585246,958723,155245,45545533,76178,137,45515399,76773,65897501,248063,32401882,317530,50328,19473,12267,1692,75920421,3580,33185418,213,3103,2402,24750000,990000,0
518461002,812079794,2602921,212961,165340854,550477,130,165278335,546572,265945472,364895,142784426,1235181,117094,24068,54795,8968,271090131,114344,143761891,1119,390904,309553,106532000,34170000,0
337914266,330906005,1776375,173670,64102306,316449,134,63845798,321696,94988354,311380,44761305,854872,90667,24136,37119,5952,97061500,110871,45010457,652,177479,104777,61152000,31077000,0
94342208,237209423,964942,149924,46887427,72331,136,45329601,74837,65739431,250068,31960838,309235,62530,22190,11217,1749,76318363,3613,33615346,217,3811,2296,26233000,0,0
95455270,232395152,1127115,184661,45669105,71097,138,46993223,72376,67426068,238357,33091375,311568,60307,19514,12245,1830,75179585,3582,33131705,355,3993,2384,25787000,1983000,0
97754561,239051241,948852,168107,46600454,75375,136,45694267,76879,65945804,249456,31863874,317655,54695,19978,11497,1690,75124590,4272,32950763,208,3627,2183,22809000,2851000,0
519913683,811392868,2416493,195352,165649582,542818,130,165814227,542284,267060219,316303,142737836,1244087,113210,21848,55220,9205,270030541,113982,143017227,1056,357213,309033,112957000,27989000,0
515856184,811075463,2369000,180349,165298349,543058,130,165291782,543755,265123262,350476,142765891,1212794,114831,25354,60620,9092,270862537,114502,143670327,1067,264733,309382,102026000,38009000,0
515425698,812230292,2444177,182657,165047083,536569,130,164874194,536992,264429645,350298,142587941,1278276,120305,26634,57153,9024,271965416,114667,144058187,1036,177230,310476,90052000,50029000,0
516083853,809372020,2611331,215545,164957128,552518,129,165019489,547075,265683285,366926,143103894,1258658,118212,24438,55285,9080,270492486,114086,143300570,1189,200216,309652,98666000,41278000,0
525923661,816093893,2560315,206983,166195095,547298,130,166214408,544692,266890531,348301,142839660,1239450,116354,22073,57152,9213,270174765,114736,143298879,1044,361793,309425,112316000,29081000,0
512341879,821474652,2558088,205557,161543449,630280,324,157974682,628146,251550797,392245,140084750,1270241,120077,22086,71328,22934,281657937,109301,149091213,2125,197372,384194,101846000,36944000,0
517731860,812777028,2465887,190887,165136747,546546,128,165233787,545646,266774146,336019,143567911,1250234,117965,21653,56197,9016,270580783,114077,143604681,1091,208216,176681,107984000,33995000,0
94419367,233111501,959739,154490,45943053,75604,137,45937494,77252,66861830,228765,32084437,328439,51798,18701,14008,1728,73824706,3517,32764500,213,3245,1223,22866000,2982000,0
517502482,815444679,2614958,219406,165554642,551132,132,165256937,548445,262765575,360031,142150022,1211440,109547,22122,68488,11373,264337944,116534,142573917,1346,207176,309717,110659000,35209000,0
517895635,809900712,2484491,192175,164746615,592674,130,164698067,593389,264243115,356519,142647309,1322150,124361,27096,57820,9171,268468758,114716,143322687,1099,218049,309382,110679000,29913000,0
276685296,719559095,1727474,229831,146975560,364655,325,144100238,352076,227962941,319723,127601445,699174,83352,20193,33031,5250,259535997,7078,135617299,625,9071,2247,75174000,0,0
97431501,238759051,988614,164966,46241772,76201,135,45653582,76935,66095863,249736,32026520,303114,52803,19859,13274,1681,75091372,3458,33041392,211,3638,4037,24506000,1021000,0
95664147,235301658,958421,162223,46852831,74609,136,45801048,76339,66324012,252156,32045784,330655,59314,19821,12642,1680,74238486,3463,32801069,210,2937,1187,23890000,1990000,0
517899673,811010001,2467086,233034,165368043,587732,132,165570726,585330,263930776,332692,142539316,1201541,113463,22386,54488,9177,267284413,114144,143067799,1072,209013,308782,107597000,32877000,0
519451067,813234919,2423564,178924,166152193,545269,129,166247735,543212,267489616,295763,143002411,1245457,115939,21711,57595,9170,270437557,114050,143540698,1089,306838,266367,118801000,21963000,0
513371364,805444312,2462723,195678,164463832,545232,132,164486405,545656,260079162,329016,142625406,1227407,114787,21653,54993,9014,265880854,113867,143431989,1086,242000,105577,102783000,35924000,0
100153101,247793565,1023351,163011,49367734,73726,139,48529117,75269,70355562,201893,32870186,316433,59843,18675,12601,1806,77594949,3296,33588608,226,3702,2287,26341000,1013000,0
517577065,814405065,2378556,173780,165055069,538884,129,165041652,539001,263997084,326362,142324374,1174898,114201,23696,54489,9108,271754437,114971,143892621,1117,144326,310254,110044000,29741000,0
94333371,237081054,969646,301182,46706875,81574,136,46758844,82906,67947157,296243,32630641,313287,51841,19009,11581,1744,74822602,3638,32840542,208,3506,1168,24741000,1030000,0
95972501,236479311,969428,157942,46633039,76776,137,46611589,77247,66999562,218315,32010224,316376,50196,18187,13589,1729,75643867,3501,33303581,210,3462,2256,25902000,0,0
95422349,238749707,980535,153783,46710778,76085,136,46065998,79666,66814683,248616,31778716,349600,56692,20267,11534,1721,75287491,3491,33188369,210,2822,1211,23892000,1991000,0
514144838,813228588,2427288,180769,164939291,535765,130,164919539,543371,264283265,362983,142346541,1249779,115805,22490,54199,8961,271604037,114945,143797628,1065,8738,309676,108570000,30158000,0
341373481,334794365,1776631,173037,64626787,317401,135,64116747,317248,95043213,318212,44599459,814077,92046,19736,37000,6003,97418977,111124,45228193,700,211585,309613,64584000,27820000,0
522163267,810596939,2474435,182246,165496537,541550,130,165685056,542152,267123813,294991,142676113,1306239,120550,23610,57799,9129,270333960,114495,143109044,1117,389697,210864,105185000,36715000,0
522601920,815461585,2833935,216859,165763165,593246,130,166312817,603222,265538210,482692,143415543,1492380,133363,24205,57299,9103,268497347,114324,143786046,1094,297163,105428,106209000,35069000,0
532925235,816630677,2553762,219154,166420188,585861,131,166355391,584989,267345458,305464,143490860,1151070,124179,35640,88045,9277,271418375,115116,143728990,1060,196762,455493,109540000,33857000,0
516047687,809639639,2538062,206456,165280034,545268,130,165362811,546375,265296858,326108,142782454,1252243,116299,22573,57365,9025,270560113,114150,143031349,1173,221874,310331,111385000,28840000,0
520546131,811181186,2389736,181591,165606038,544792,130,165628354,544204,266941029,342712,142829342,1208010,117812,22126,57451,9549,269926304,114570,142981665,1108,333190,104873,100073000,41030000,0
338807159,328600554,2025957,332610,63444893,328541,135,63577715,328529,93523919,279829,44419672,769071,80430,20264,37607,5930,94258102,110456,44554329,703,175890,104445,59893000,30944000,0
522865259,812387517,2424284,192872,165962706,543485,130,166256783,548643,267633346,352969,143058018,1287536,118361,24043,55757,9162,269730128,114249,142932249,1084,398431,308072,109141000,32041000,0
521707806,814210912,2357225,190050,165536259,537120,130,165451930,535315,266267789,347886,142640509,1208850,114693,24029,54668,9136,270727962,114788,143356975,1082,388817,308991,117871000,22974000,0
336077350,334532976,2006109,200881,63971220,314667,135,63745233,315568,94717614,324215,44483531,769917,80567,21715,39203,6027,97580981,115563,45364676,911,22755,313265,59923000,30960000,0
93216693,229032874,1106517,175428,47248757,73108,138,48041564,69107,68559235,224935,32292297,340206,60295,18501,14370,1947,73374132,3932,32284719,247,3564,2349,27427000,1959000,0
523803519,813244504,2488725,200518,165567898,544782,131,165553598,542691,266512012,345259,142438982,1221324,112738,24184,62350,9186,271224482,114843,143539124,1143,360284,152279,117406000,24083000,0
97484972,235604101,1014097,161226,47490951,75764,137,46492142,77416,67321755,221288,31986897,329777,59043,18175,11841,1760,74841109,3074,32686452,216,4312,2417,25683000,987000,0
522896364,812551144,2531947,205745,165171958,540211,129,165166910,537755,265768220,325423,142700752,1255788,118336,23549,64242,11892,271194004,117534,143716021,1274,306114,106349,107711000,33909000,0
519096641,812593225,2466372,184905,164890144,542788,129,164990274,546006,265593470,366113,142752523,1284807,120945,24092,56207,9061,271767231,114576,143830516,1078,170406,309978,113819000,25958000,0
991794505,219701002,3777329,108027,20816580,236511,135,21657002,251691,4904026,438800,3073690,2510324,181628,12985,112273,19411,1849311,26576,1157729,2509,4328,7083,290273000,3002000,1
122816934,114590014,1156641,137661,3690629,81177,130,3442892,76716,2785115,140616,231369,307813,21217,3191,35378,2911,582225,5574,301555,447,1001,1446,34100000,1002000,1
85440316,95335045,1177380,152882,5606964,111299,130,5069244,101386,3433030,190159,180050,199231,14271,726,10172,1509,150162,2108,105300,208,324,1998,22786000,0,1
201016527,194768003,1369003,142285,3860766,94156,135,3683384,89752,3045486,186469,572933,528180,41037,4916,21400,3525,367148,4958,232862,464,743,1284,53380000,988000,1
422197934,265982976,1997749,147688,18314203,134683,134,18497886,135784,4128939,272954,882153,981760,63210,3841,44275,8037,828223,11161,511665,1038,1561,2868,113215000,993000,1
31425316,25352935,1464636,194081,3626738,71025,134,3119120,54175,2126383,103417,118411,116277,9528,681,27868,3728,8710010,57564,5954206,4566,26098,44508,12683000,0,1
446200522,474846460,2152757,164552,53467836,127531,134,53359351,127132,29413932,247558,27238631,969360,71036,6485,46308,7877,27430131,10448,27293033,1097,1944,3208,120307000,0,1
128450992,79912933,1217582,158632,5814497,118688,194,5546305,112842,2843019,150897,164593,293395,18137,3912,103580,3261,601351,6082,364912,471,1247,1753,34852000,0,1
433633015,67243370,2126808,146157,4744748,135669,134,4691686,139229,4103813,275710,851464,1029435,71750,5129,46723,7640,773492,10928,488024,991,1710,3000,115731000,1006000,1
590463358,731467102,2619279,142898,140384804,168105,134,140023743,170511,90992165,281651,61491102,1368358,96684,6235,62470,11539,89267135,15876,60650961,1410,2626,4214,158285000,1001000,1
150670155,122024729,1314112,160813,4238666,102207,140,4243897,89317,3370183,151916,198729,347603,21279,1297,17055,2692,276044,3634,171228,348,1609,1833,40567000,989000,1
375898058,586996330,1947580,146849,47855447,124714,135,46009204,120976,3576242,234468,481775,815263,53224,3990,44482,7944,2149048,13073,947992,1130,2556,3729,102375000,0,1
1230555846,1689804810,4877169,213926,178987750,274846,140,179040673,288955,5868122,470553,1901206,2865378,223448,24148,133607,21462,2150006,29068,1352942,2806,4706,8302,331904000,999000,1
110412701,36253940,1021780,133906,2802608,72246,133,2566157,65768,2697606,122148,376475,335243,25940,1574,13137,1981,203754,2815,127905,256,468,734,28480000,1964000,1
151193484,123164539,1299727,167742,4154974,99545,130,4164841,89877,3358626,169184,196970,353689,21466,1357,16337,2744,284123,3629,173818,357,1633,1790,39733000,1986000,1
88466010,66434088,885463,127314,4627494,100806,135,4621565,94120,3322796,179876,533216,220319,13359,806,9752,1578,157280,2199,101811,202,351,554,22942000,997000,1
52833210,63130313,1519015,251944,4291571,86985,134,3573420,68400,2651512,110302,139104,153053,10483,914,6446,1106,377114,4615,634135,505,1918,1883,14448000,1926000,1
372770445,72483117,1972700,155831,6564233,162018,136,6507039,165267,3730318,243910,496899,857548,54519,4784,51128,8088,2276886,13420,967535,1144,2527,3269,101559000,0,1
1013027537,1385084841,4080952,169688,110650966,222972,128,110677605,222108,61360433,399099,58569811,2316433,152881,12894,111225,18013,58908098,24948,58262541,2389,4425,6782,273779000,999000,1
1226402473,1685584934,4719704,169913,178518329,268854,131,178571744,270096,5839246,488938,1759532,2719168,164040,12764,127840,21517,2178367,29167,1380087,2867,3841,7863,332771000,1002000,1
41978494,37943234,1262647,202900,3003679,66619,134,2433108,52918,2034294,79929,157963,123466,7741,1050,45358,1297,597705,5480,424105,461,1891,2907,10789000,1798000,1
154386722,123077251,1308347,155609,4115224,102522,130,4163697,90845,3414681,181818,280690,347029,23334,1309,17092,2710,274005,3718,176052,433,1586,2072,39420000,1971000,1
366827696,62937580,1876104,148628,6481346,168711,135,6509006,170635,3574859,231884,470253,754149,57431,4641,48533,9691,1223075,10430,620330,933,1729,2777,96593000,2956000,1
90984090,69944699,858637,114346,4531753,126024,137,4585681,134750,3133447,161547,401930,310950,13175,843,11810,1729,252093,2254,137672,209,339,592,24332000,973000,1
63667367,62929716,1283809,196838,4892501,98577,134,4310963,75931,3008937,144584,175784,165171,11911,1318,7211,1173,144079,1757,430745,472,1466,1596,17767000,0,1
155300953,92531487,1324527,155946,4112484,101217,129,4183478,96109,3474828,186597,298786,350872,23645,2257,15355,2672,282479,3723,207034,362,1285,1861,39337000,1966000,1
605544886,932251095,2605389,148224,91428031,157306,132,91447651,157998,6240516,286329,1712710,1388935,91281,8539,69801,10671,3275033,13624,1405819,1377,2004,3990,161051000,2982000,1
192938913,47087083,1259757,136666,4007452,87340,133,3912280,86505,3211580,193975,541637,531410,38584,3737,20371,3396,360985,4603,219051,438,549,1206,50932000,998000,1
1023793202,367890857,4513637,402143,71632790,3833700,1558,71411792,3865062,7946219,613870,3106797,2445807,146989,11590,219458,117401,8915880,30251,4544782,9794,8542,9142,276449000,1001000,1
1317365675,1975714732,5241311,226494,185839843,305997,134,184992755,299002,10193994,502984,6206107,2898548,188994,12134,138970,23089,6736544,31798,5861590,3246,6113,9723,354370000,1996000,1
152536458,94371976,1300160,155438,4088430,99711,134,4090792,96748,3368320,184754,265019,351519,22042,1350,16219,2733,272192,3927,175905,355,1196,1810,40956000,998000,1
163500950,109940898,1448695,263899,4255301,106607,128,4056724,101341,3847597,197132,372867,384683,27232,1482,17230,2858,273548,3936,183449,412,691,1175,43308000,0,1
670971779,947418844,2829770,159973,90547533,175948,134,90602702,181401,4627668,339636,1120000,1498735,98448,6009,69392,11838,1244201,16366,771137,1579,2255,4230,180333000,1001000,1
90685871,69913598,909915,119523,3986225,76543,134,3995672,74997,3077360,165191,423149,307078,14289,907,10228,1721,172358,2386,108209,216,334,647,23590000,1965000,1
31133517,41249453,1405290,195066,4747094,187786,129,4382673,161781,2303888,105796,160403,133362,7780,512,5880,2765,2147863,8400,1202641,833,2768,3366,12493000,1922000,1
177983307,119848691,1189299,127885,3516099,90407,135,3764366,92600,3428419,204270,582839,496478,39067,1725,18319,3171,296604,4384,197370,418,604,1125,48737000,0,1
970229066,1653319037,3976622,203557,131711082,235537,132,129813098,232497,89098442,402344,87167816,2046269,133914,10481,98537,16976,92665634,23148,92079685,2401,3976,7730,262671000,0,1
96546007,106166990,889422,113464,10050619,106723,134,9016498,98466,4797187,168515,2899393,305757,22351,1221,10421,1729,4576416,2329,4521565,220,277,598,26169000,0,1
214493451,51235622,1529092,147002,4614495,156238,129,4661509,154541,3278368,189303,370004,452005,31154,3412,22848,3864,1697627,8950,745520,801,1814,2426,59487000,0,1
77393207,93397687,1285818,179891,6976302,198184,133,7320252,183926,7690100,378176,2147199,467087,29830,3452,9065,1374,1391992,1917,85223,174,341,776,21081000,0,1
666445658,978731749,2865022,145150,100631866,361543,133,100575227,363455,5980968,339811,2495237,1512198,99679,5626,70129,11661,2659771,16670,2218894,1536,2903,4176,180454000,0,1
76382465,94543889,1032283,149162,3956589,88501,129,4280818,86681,3397902,160382,116466,185116,11169,661,9124,1383,161544,1851,93112,179,324,1178,20665000,0,1
370028483,556765330,1876424,145875,47982298,122806,135,46134252,120630,3436221,226769,423945,776566,61159,7075,42966,6475,618468,8857,390307,847,1389,2472,99713000,0,1
25290353,29806731,1623329,212647,4495082,154741,130,4025158,130743,2258176,106684,105325,133613,8780,924,14964,4075,3252921,13872,1928403,1577,6203,6495,12658000,1054000,1
72630789,63966578,1181193,200558,5963013,594817,135,5872073,646759,3308669,156677,92045,169847,11533,1224,8438,1329,123219,1821,85584,177,1476,2044,19043000,1002000,1
997160140,1174824791,3934268,181055,106226843,229491,134,106378876,236519,60252725,430603,57229420,2193739,143320,9135,104087,17530,57355039,23982,56762788,2311,3807,6383,270520000,0,1
154862373,93853496,1313315,162386,4166025,101049,137,4164639,97944,3469078,185272,308181,348823,22682,1680,16991,2726,289076,3841,189955,372,908,1962,40917000,974000,1
56547276,50437585,1300359,200187,4938490,69069,129,4510902,53639,2095172,68405,153499,114810,7397,720,22198,768,357802,9892,1516082,267,3726,4091,12329000,1027000,1
28224449,43076709,1396280,190087,3105727,65952,135,2477983,51160,2025685,94427,99823,110639,9138,1267,53715,?,?,?,?,?,?,?,9437000,2831000,1
81865719,75449432,1009226,146002,3692345,83544,133,3717385,86234,3630420,192762,213629,207007,15487,1772,9010,1492,167212,2064,100138,186,330,507,21817000,0,1
165465809,151949949,1493255,339567,4417936,104190,134,4422770,104128,4569050,270722,238016,381904,23504,1426,18441,2988,296991,4089,189747,389,511,1057,45670000,0,1
89020490,65250923,885187,123283,4328546,73133,135,4321781,73769,3262627,177788,381194,205085,16356,2851,13536,3539,489947,3485,227095,264,552,996,22967000,998000,1
162434506,113973273,1348413,174989,4131427,104439,134,4172386,100307,3876557,194162,243685,367475,24187,1740,16896,2847,303887,3903,189944,368,886,1798,42291000,1006000,1
72787740,48573597,965045,136799,3977556,81573,133,3778673,83468,3591299,169922,181791,203040,13847,1763,9984,1485,215353,2022,116277,180,318,804,21392000,0,1
574407856,115593807,2942835,507279,10822232,171255,4040,11484777,173166,14507122,698803,8306580,1446093,81787,6168,256540,187788,5186425,20118,3816062,16382,13841,6256,150938000,5997000,1
30754543,30179817,1456443,215018,3303053,71548,134,2589869,55294,2184061,109484,138613,120780,7704,457,14974,5381,5911981,19311,3245130,1846,8421,7721,13273000,0,1
164632777,113632057,1261994,143539,3943886,96183,134,4022718,98791,3851467,209532,290507,372372,24920,2282,17365,3003,363613,3942,211891,373,501,1013,42605000,990000,1
309500268,489405867,1844590,189647,45556930,134811,131,45432051,123533,3810101,239953,551173,710338,44804,3178,32855,5464,567348,7377,350143,857,2171,2951,84902000,0,1
837547104,1100286110,3530235,157459,95375994,197402,134,95443837,207937,7788439,384081,2769191,1875713,125317,8928,89052,16573,6227849,22736,3117125,2069,4814,6151,226353000,0,1
76129716,119415419,979460,134556,6317037,91289,131,5370145,84183,3510355,152183,102938,185469,11330,676,8813,1482,161955,2001,126108,186,249,521,19552000,1955000,1
157270248,113421374,1256209,147321,3998389,97733,133,4065187,97614,3467016,164070,334616,392392,26614,3299,17846,2842,278436,3674,177002,365,465,1922,42091000,1002000,1
153484429,121116830,1303705,164141,4119699,101003,133,4111484,103514,3514977,198004,400225,435655,27436,3070,17063,2876,287931,3785,184930,370,810,1874,42036000,0,1
316729997,262974347,1835540,181626,47122645,130599,136,47164366,115676,31360206,229822,28266689,661230,47069,3020,35114,5557,29608417,7807,27933249,927,3685,3628,83304000,1983000,1
78400680,75882149,925552,129147,3686928,78044,129,3692353,79289,3587959,191196,347547,260111,17164,3152,9411,1471,160940,2071,94997,193,299,514,21415000,1019000,1
1218801388,1673643353,4895648,198888,178915199,285709,135,178596936,285425,5865160,464265,1937120,2740319,175315,12209,130027,21287,2186805,29826,1377509,2901,4800,8230,331371000,1996000,1
150107287,115274194,1335578,168169,4227979,99718,129,3930974,88017,3283804,173999,226394,313223,21131,1957,17418,4818,768412,6160,412899,767,2528,2989,40319000,0,1
364999605,62261361,1965240,217273,4295642,124513,135,4184545,121543,3888812,248676,504707,838197,62119,6832,43289,6419,652402,8546,409423,833,1083,2266,97199000,1983000,1
230167256,53317127,1550626,148907,6161468,170795,128,6008828,161103,4825590,190072,1136515,481879,34117,1957,24104,6808,2340089,7598,1166217,749,2715,3020,62168000,1002000,1
1325990787,1035973265,5428489,323178,106097074,345869,134,106291301,368035,32170088,567166,27608345,2954283,197901,14516,140127,23234,28033214,31341,27176639,3081,6224,9159,356403000,1996000,1
149059483,97831166,1300883,156061,4144172,99744,134,4208093,88958,3341020,155575,254760,346479,22366,2150,17067,2710,271326,3599,172107,361,1575,1817,40507000,987000,1
57437959,65264687,1362728,235589,5423549,401578,134,4867960,421599,2720230,130739,148858,153268,10700,576,6800,2541,345398,5221,665399,580,2114,2511,14879000,1983000,1
148687477,103425151,1354226,168431,4189141,102955,133,3939681,88378,3318240,168425,229532,343775,22425,1285,17122,2649,266446,3623,194612,510,1591,2011,40177000,1004000,1
142312896,90273068,1305783,178131,4358395,95827,129,3869103,87617,3227669,174929,294302,321247,19938,1278,15933,2589,272377,3507,598026,625,1697,2004,39656000,0,1
