file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
180566.exe,101799119,272233611,1041318,171427,58613950,71978,134,58456602,75661,55845968,204590,36394469,355507,64033,21347,12566,1844,60978681,3677,37010033,275,4275,4615,27105000,1003000
182761.exe,519502950,811033634,2478105,196275,164898506,547798,128,165111412,546912,263966058,365599,142644802,1268120,118083,21735,55925,9320,267734874,114620,143153752,1102,376242,308633,108664000,32196000
1873684.exe,342711963,333656493,1946406,200558,64650296,318336,134,64593568,325463,95763878,276696,44577509,905898,93953,22278,38999,6197,96066428,110179,44634492,719,360075,309314,61048000,34027000
1931123.exe,516051221,808093279,2327212,179636,164733882,557138,131,164732608,559138,263193304,363498,143046267,1219982,117949,27075,56066,9150,266870424,113425,143154693,1072,312343,308868,113158000,27037000
1950101.exe,518919246,808472306,2367909,178850,164230292,536898,132,164277913,533430,263005545,330728,142863306,1169121,115015,25257,57136,9867,268253645,114596,143669036,1129,356979,309322,106988000,33996000
2102452.exe,513132023,810113092,2349961,192898,165135834,548375,129,165275695,546077,265816325,364722,143532938,1189110,118001,24731,54847,9082,270527303,113860,143440030,1095,137855,309474,114810000,25177000
2157682.exe,522119193,811215259,2479179,183784,164919909,543312,131,165036095,543144,264026128,343174,143185239,1235057,115808,22527,57547,9529,267751659,114158,143612947,1105,316891,105066,105286000,36098000
2349630.exe,518498136,807489090,2494471,219719,164093093,561854,131,164241802,562934,262597219,355526,143512809,1219331,117058,24703,54399,9085,267879472,114299,143327114,1098,365877,309298,105894000,34965000
2351086.exe,94298785,233894788,1007461,159780,46719346,75057,143,45971821,76751,66389578,255044,32747425,328561,60507,20995,11436,1755,75951231,3832,33331965,214,3039,1169,25011000,1000000
2360855.exe,522728044,809804588,2477575,197194,164627867,544895,129,164377442,543799,264373515,352176,143503320,1294059,124186,26083,57536,9334,271778502,115227,143881218,1076,312528,171307,108181000,35058000
2633688.exe,354254107,350762072,1952665,359380,66421401,315161,1893,66079209,310581,96854476,863822,47773646,961161,261005,79939,39381,6293,101311562,115077,47267546,733,182433,324559,62829000,32910000
2741683.exe,521918033,812048697,2423138,187352,164814477,553710,129,164955837,553488,263883317,356763,142556629,1247700,113834,21410,56057,9083,267767387,114246,143302283,1110,319207,105493,113574000,27137000
2748277.exe,517258191,812679443,2593950,257736,165824516,572543,131,165764103,568217,265393424,383846,142878074,1424370,119231,24256,56591,9108,270415051,114428,143309743,1089,137014,309237,99867000,39946000
299057.exe,516817730,809821082,2367507,183173,165067752,541710,129,165215689,542198,266395688,359261,142969614,1202081,116137,26293,62324,9154,270035238,114133,142990441,1114,214465,296241,105000000,35000000
3131527.exe,335270141,327208708,1897220,217125,63797185,320711,136,63764481,321356,94869643,373070,46167623,785773,93358,32220,38028,6863,95569639,110629,45582332,661,192165,148049,52309000,38225000
3574254.exe,92221206,232449864,1039442,167088,47005541,74566,136,46647864,77397,67725633,254865,32334148,325552,61779,19934,12900,1781,73967174,3633,32347417,217,3193,2839,26836000,0
3639900.exe,521658295,813058638,2510952,198606,164955766,552666,135,165271395,550314,264147024,371792,143051918,1319955,120492,23731,58169,9417,268467031,114931,144008370,1132,310918,106226,104893000,35963000
3743333.exe,528727462,812064384,2508867,191956,164860349,613039,130,164981959,610923,263599532,345760,143426507,1254691,116402,22250,58033,9933,267631029,115032,143223133,1118,343547,105184,115247000,27058000
3809348.exe,97930445,241167903,1002336,160486,47068478,76322,138,45818625,79137,66379973,252914,32283623,338738,59958,21156,10969,1742,75862305,3527,33276400,208,3806,2276,24790000,953000
3839240.exe,519105330,809851606,2305436,177140,164935057,532801,129,165074079,534143,266226581,355402,143942793,1173051,118014,26183,53517,9150,270789171,113731,143569046,1056,251812,318581,101395000,39152000
3840609.exe,516625075,809317589,2370741,177836,164369819,560159,132,164271001,559870,262641211,360815,143221895,1251238,131897,33141,55692,9043,268771018,114743,144020507,1053,273956,310196,111624000,28902000
3910898.exe,91060036,228585246,958723,155245,45545533,76178,137,45515399,76773,65897501,248063,32401882,317530,50328,19473,12267,1692,75920421,3580,33185418,213,3103,2402,24750000,990000
3941233.exe,518461002,812079794,2602921,212961,165340854,550477,130,165278335,546572,265945472,364895,142784426,1235181,117094,24068,54795,8968,271090131,114344,143761891,1119,390904,309553,106532000,34170000
3943646.exe,337914266,330906005,1776375,173670,64102306,316449,134,63845798,321696,94988354,311380,44761305,854872,90667,24136,37119,5952,97061500,110871,45010457,652,177479,104777,61152000,31077000
3985410.exe,94342208,237209423,964942,149924,46887427,72331,136,45329601,74837,65739431,250068,31960838,309235,62530,22190,11217,1749,76318363,3613,33615346,217,3811,2296,26233000,0
3986867.exe,95455270,232395152,1127115,184661,45669105,71097,138,46993223,72376,67426068,238357,33091375,311568,60307,19514,12245,1830,75179585,3582,33131705,355,3993,2384,25787000,1983000
4099008.exe,97754561,239051241,948852,168107,46600454,75375,136,45694267,76879,65945804,249456,31863874,317655,54695,19978,11497,1690,75124590,4272,32950763,208,3627,2183,22809000,2851000
4158466.exe,519913683,811392868,2416493,195352,165649582,542818,130,165814227,542284,267060219,316303,142737836,1244087,113210,21848,55220,9205,270030541,113982,143017227,1056,357213,309033,112957000,27989000
4267692.exe,515856184,811075463,2369000,180349,165298349,543058,130,165291782,543755,265123262,350476,142765891,1212794,114831,25354,60620,9092,270862537,114502,143670327,1067,264733,309382,102026000,38009000
4483111.exe,515425698,812230292,2444177,182657,165047083,536569,130,164874194,536992,264429645,350298,142587941,1278276,120305,26634,57153,9024,271965416,114667,144058187,1036,177230,310476,90052000,50029000
4548804.exe,516083853,809372020,2611331,215545,164957128,552518,129,165019489,547075,265683285,366926,143103894,1258658,118212,24438,55285,9080,270492486,114086,143300570,1189,200216,309652,98666000,41278000
4597164.exe,525923661,816093893,2560315,206983,166195095,547298,130,166214408,544692,266890531,348301,142839660,1239450,116354,22073,57152,9213,270174765,114736,143298879,1044,361793,309425,112316000,29081000
4910075.exe,512341879,821474652,2558088,205557,161543449,630280,324,157974682,628146,251550797,392245,140084750,1270241,120077,22086,71328,22934,281657937,109301,149091213,2125,197372,384194,101846000,36944000
4955342.exe,517731860,812777028,2465887,190887,165136747,546546,128,165233787,545646,266774146,336019,143567911,1250234,117965,21653,56197,9016,270580783,114077,143604681,1091,208216,176681,107984000,33995000
5011099.exe,94419367,233111501,959739,154490,45943053,75604,137,45937494,77252,66861830,228765,32084437,328439,51798,18701,14008,1728,73824706,3517,32764500,213,3245,1223,22866000,2982000
5210278.exe,517502482,815444679,2614958,219406,165554642,551132,132,165256937,548445,262765575,360031,142150022,1211440,109547,22122,68488,11373,264337944,116534,142573917,1346,207176,309717,110659000,35209000
5408902.exe,517895635,809900712,2484491,192175,164746615,592674,130,164698067,593389,264243115,356519,142647309,1322150,124361,27096,57820,9171,268468758,114716,143322687,1099,218049,309382,110679000,29913000
5585521.exe,276685296,719559095,1727474,229831,146975560,364655,325,144100238,352076,227962941,319723,127601445,699174,83352,20193,33031,5250,259535997,7078,135617299,625,9071,2247,75174000,0
559559.exe,97431501,238759051,988614,164966,46241772,76201,135,45653582,76935,66095863,249736,32026520,303114,52803,19859,13274,1681,75091372,3458,33041392,211,3638,4037,24506000,1021000
579108.exe,95664147,235301658,958421,162223,46852831,74609,136,45801048,76339,66324012,252156,32045784,330655,59314,19821,12642,1680,74238486,3463,32801069,210,2937,1187,23890000,1990000
580014.exe,517899673,811010001,2467086,233034,165368043,587732,132,165570726,585330,263930776,332692,142539316,1201541,113463,22386,54488,9177,267284413,114144,143067799,1072,209013,308782,107597000,32877000
5856149.exe,519451067,813234919,2423564,178924,166152193,545269,129,166247735,543212,267489616,295763,143002411,1245457,115939,21711,57595,9170,270437557,114050,143540698,1089,306838,266367,118801000,21963000
5857120.exe,513371364,805444312,2462723,195678,164463832,545232,132,164486405,545656,260079162,329016,142625406,1227407,114787,21653,54993,9014,265880854,113867,143431989,1086,242000,105577,102783000,35924000
5860054.exe,100153101,247793565,1023351,163011,49367734,73726,139,48529117,75269,70355562,201893,32870186,316433,59843,18675,12601,1806,77594949,3296,33588608,226,3702,2287,26341000,1013000
5904708.exe,517577065,814405065,2378556,173780,165055069,538884,129,165041652,539001,263997084,326362,142324374,1174898,114201,23696,54489,9108,271754437,114971,143892621,1117,144326,310254,110044000,29741000
5934509.exe,94333371,237081054,969646,301182,46706875,81574,136,46758844,82906,67947157,296243,32630641,313287,51841,19009,11581,1744,74822602,3638,32840542,208,3506,1168,24741000,1030000
6121333.exe,95972501,236479311,969428,157942,46633039,76776,137,46611589,77247,66999562,218315,32010224,316376,50196,18187,13589,1729,75643867,3501,33303581,210,3462,2256,25902000,0
6138905.exe,95422349,238749707,980535,153783,46710778,76085,136,46065998,79666,66814683,248616,31778716,349600,56692,20267,11534,1721,75287491,3491,33188369,210,2822,1211,23892000,1991000
6139086.exe,514144838,813228588,2427288,180769,164939291,535765,130,164919539,543371,264283265,362983,142346541,1249779,115805,22490,54199,8961,271604037,114945,143797628,1065,8738,309676,108570000,30158000
618530.exe,341373481,334794365,1776631,173037,64626787,317401,135,64116747,317248,95043213,318212,44599459,814077,92046,19736,37000,6003,97418977,111124,45228193,700,211585,309613,64584000,27820000
6317098.exe,522163267,810596939,2474435,182246,165496537,541550,130,165685056,542152,267123813,294991,142676113,1306239,120550,23610,57799,9129,270333960,114495,143109044,1117,389697,210864,105185000,36715000
6801844.exe,522601920,815461585,2833935,216859,165763165,593246,130,166312817,603222,265538210,482692,143415543,1492380,133363,24205,57299,9103,268497347,114324,143786046,1094,297163,105428,106209000,35069000
6967734.exe,532925235,816630677,2553762,219154,166420188,585861,131,166355391,584989,267345458,305464,143490860,1151070,124179,35640,88045,9277,271418375,115116,143728990,1060,196762,455493,109540000,33857000
6977351.exe,516047687,809639639,2538062,206456,165280034,545268,130,165362811,546375,265296858,326108,142782454,1252243,116299,22573,57365,9025,270560113,114150,143031349,1173,221874,310331,111385000,28840000
7514518.exe,520546131,811181186,2389736,181591,165606038,544792,130,165628354,544204,266941029,342712,142829342,1208010,117812,22126,57451,9549,269926304,114570,142981665,1108,333190,104873,100073000,41030000
7693072.exe,338807159,328600554,2025957,332610,63444893,328541,135,63577715,328529,93523919,279829,44419672,769071,80430,20264,37607,5930,94258102,110456,44554329,703,175890,104445,59893000,30944000
7841352.exe,522865259,812387517,2424284,192872,165962706,543485,130,166256783,548643,267633346,352969,143058018,1287536,118361,24043,55757,9162,269730128,114249,142932249,1084,398431,308072,109141000,32041000
796521.exe,521707806,814210912,2357225,190050,165536259,537120,130,165451930,535315,266267789,347886,142640509,1208850,114693,24029,54668,9136,270727962,114788,143356975,1082,388817,308991,117871000,22974000
8026156.exe,336077350,334532976,2006109,200881,63971220,314667,135,63745233,315568,94717614,324215,44483531,769917,80567,21715,39203,6027,97580981,115563,45364676,911,22755,313265,59923000,30960000
8048609.exe,93216693,229032874,1106517,175428,47248757,73108,138,48041564,69107,68559235,224935,32292297,340206,60295,18501,14370,1947,73374132,3932,32284719,247,3564,2349,27427000,1959000
8130003.exe,523803519,813244504,2488725,200518,165567898,544782,131,165553598,542691,266512012,345259,142438982,1221324,112738,24184,62350,9186,271224482,114843,143539124,1143,360284,152279,117406000,24083000
8172060.exe,97484972,235604101,1014097,161226,47490951,75764,137,46492142,77416,67321755,221288,31986897,329777,59043,18175,11841,1760,74841109,3074,32686452,216,4312,2417,25683000,987000
8194304.exe,522896364,812551144,2531947,205745,165171958,540211,129,165166910,537755,265768220,325423,142700752,1255788,118336,23549,64242,11892,271194004,117534,143716021,1274,306114,106349,107711000,33909000
8453236.exe,519096641,812593225,2466372,184905,164890144,542788,129,164990274,546006,265593470,366113,142752523,1284807,120945,24092,56207,9061,271767231,114576,143830516,1078,170406,309978,113819000,25958000
